CG_GEOID,GEOID,GENT_IDX,UERPCTCHG,PCIPCTCHG,POVPCTCHG,2016_POP,2010_POP,POPPCTCHG,2016_BLACK,2010_BLACK,BLKPCTCHG,2016_ASIAN,2010_ASIAN,ASNPCTCHG,2016_HISP,2010_HISP,HSPPCTCHG,2016_WHITE,2010_WHITE,WHTPCTCHG,2016_HS,2016_PCTHS,2010_HS,2010_PCTHS,HSPCTCHG,2016_POSTHS,2016_PCTPOSTHS,2010_POSTHS,2010_PCTPOSTHS,PHSPCTCHG,2016_INHU,2016_PCTHMLS,2010_INHU,2010_PCTHMLS,2016_OWNERHU,2010_OWNERHU,2016_RENT,2010_RENT,ORRPCTCHG
CG17031010100,17031010100,0.406,-1.8,14.2,6.1,4318,5086,-15.1,1684,2600,-35.2,166,541,-69.3,559,649,-13.9,1737,1158,50,998,23.1,1138,22.4,0.7,2162,50.1,1811,35.6,14.5,4186,3.1,5012,1.5,708,971,3478,4041,18
CG17031010201,17031010201,0.407125,4.5,6.3,5,6893,5819,18.5,3248,2817,15.3,174,312,-44.2,1286,1269,1.3,1881,1412,33.2,1980,28.7,1515,26,2.7,2828,41,1893,32.5,8.5,6698,2.8,5819,0,1742,1971,4956,3848,45.7
CG17031010202,17031010202,0.60125,-8.1,4.4,0.5,2232,2898,-23,713,1050,-32.1,196,61,221.3,559,659,-15.2,760,969,-21.6,624,28,934,32.2,-4.2,1035,46.4,1105,38.1,8.3,1923,13.8,2426,16.3,449,772,1474,1654,53.2
CG17031010300,17031010300,0.524125,0,26.5,-4,6105,6382,-4.3,1615,1638,-1.4,503,391,28.6,875,1539,-43.1,3044,3023,0.7,1940,31.8,2010,31.5,0.3,3062,50.2,2433,38.1,12.1,5131,16,5691,10.8,1564,2314,3567,3377,56.3
CG17031010400,17031010400,0.53325,-2.2,-20.9,-0.6,5532,4590,20.5,1024,646,58.5,313,395,-20.8,406,646,-37.2,3669,2749,33.5,462,8.4,641,14,-5.6,2334,42.2,1616,35.2,7,4032,27.1,3674,20,950,1234,3082,2440,64.1
CG17031010501,17031010501,0.56,8.2,7.8,-10.4,3804,3989,-4.6,1107,1947,-43.1,173,225,-23.1,203,215,-5.6,2139,1551,37.9,587,15.4,758,19,-3.6,2408,63.3,1706,42.8,20.5,3784,0.5,3989,0,499,1015,3285,2974,124.7
CG17031010502,17031010502,0.4765,-5,-14.2,1.1,3028,3256,-7,633,644,-1.7,149,308,-51.6,387,437,-11.4,1802,1712,5.3,240,7.9,466,14.3,-6.4,1580,52.2,1385,42.5,9.7,3010,0.6,3256,0,581,775,2429,2481,30.6
CG17031010503,17031010503,0.425125,4.1,24.2,8.4,2061,1778,15.9,213,287,-25.8,353,94,275.5,247,156,58.3,1150,1213,-5.2,727,35.3,280,15.7,19.6,792,38.4,661,37.2,1.2,2019,2,1588,10.7,509,341,1510,1247,-18.9
CG17031010600,17031010600,0.599875,3.7,4.2,-9.5,6564,6431,2.1,1698,1782,-4.7,142,346,-59,1696,1821,-6.9,2905,2379,22.1,1451,22.1,1383,21.5,0.6,3344,50.9,2420,37.6,13.3,6378,2.8,6160,4.2,1740,2284,4638,3876,57.1
CG17031010701,17031010701,0.55175,-3.5,4.7,2.3,3906,3694,5.7,739,587,25.9,444,65,583.1,1413,1387,1.9,1274,1570,-18.9,1020,26.1,830,22.5,3.6,1661,42.5,1367,37,5.5,3906,0,3694,0,1825,2126,2081,1568,54.6
CG17031010702,17031010702,0.405,6.7,-7.1,10.5,5572,5428,2.7,1059,1089,-2.8,346,75,361.3,2510,2847,-11.8,1461,1345,8.6,1522,27.3,1935,35.6,-8.3,2117,38,1405,25.9,12.1,5494,1.4,5408,0.4,1290,1536,4204,3872,29.3
CG17031020100,17031020100,0.64175,2.8,24.9,-1.7,3955,3506,12.8,1474,1065,38.4,749,517,44.9,568,665,-14.6,1000,1303,-23.3,998,25.2,980,28,-2.8,1666,42.1,1264,36.1,6,3902,1.3,3310,5.6,1817,1709,2085,1601,22.5
CG17031020200,17031020200,0.43025,4.1,14.1,7.3,6512,6707,-2.9,521,1160,-55.1,1334,1480,-9.9,1113,385,189.1,3388,3767,-10.1,1285,19.7,1439,21.5,-1.8,3114,47.8,2222,33.1,14.7,6385,2,6608,1.5,4907,5380,1478,1228,32
CG17031020301,17031020301,0.5795,4.5,16.4,-1.6,5204,4398,18.3,204,146,39.7,623,280,122.5,423,464,-8.8,3859,3467,11.3,845,16.2,793,18,-1.8,2687,51.6,1848,42,9.6,5199,0.1,4398,0,4156,3768,1043,630,50.1
CG17031020302,17031020302,0.469625,3.7,25.5,4.1,4869,4535,7.4,582,413,40.9,556,480,15.8,767,554,38.4,2815,2887,-2.5,952,19.6,987,21.8,-2.2,2483,51,1770,39,12,4475,8.1,4296,5.3,2361,2326,2114,1970,5.7
