GEOID,UERPCTCHG,PCIPCTCHG,POVPCTCHG
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
17031010100,-1.8,14.2,6.1
17031010201,4.5,6.3,5
17031010202,-8.1,4.4,0.5
17031010300,0,26.5,-4
17031010400,-2.2,-20.9,-0.6
17031010501,8.2,7.8,-10.4
17031010502,-5,-14.2,1.1
17031010503,4.1,24.2,8.4
17031010600,3.7,4.2,-9.5
17031010701,-3.5,4.7,2.3
17031010702,6.7,-7.1,10.5
17031020100,2.8,24.9,-1.7
17031020200,4.1,14.1,7.3
17031020301,4.5,16.4,-1.6
17031020302,3.7,25.5,4.1
17031020400,-0.3,13.4,11.2
17031020500,6.2,12.4,4.3
17031020601,3,31.9,-7.5
17031020602,3.7,-11.7,23.5
17031020701,-0.7,46,-12
17031020702,-4,-3.5,9
17031020801,2.5,18.9,-1.2
17031020802,1.3,18.6,11.7
17031020901,-2.8,-6.1,13.4
17031020902,-4.1,-0.3,8.6
17031030101,-4.1,1.8,-7.6
17031030102,0,15.2,-11.3
17031030103,1.4,12,-20.4
17031030104,0.4,95.9,-2.7
17031030200,-4.2,17.6,5.3
17031030300,0.8,2.5,2.1
17031030400,6.2,-8.5,15.8
17031030500,-5.3,35.9,-0.8
17031030601,-3.9,-9.5,-4.3
17031030603,-6.5,10.5,17.5
17031030604,-3.6,-2.3,4.5
17031030701,-6.6,14.9,-8.5
17031030702,4.4,12.1,7.7
17031030703,-2.4,6.1,-1.7
17031030706,-0.6,-5,11.7
17031030800,1,-4.6,-7
17031030900,-1.2,34.8,-2.3
17031031000,-0.4,37.1,-9.1
17031031100,3,21.8,0.3
17031031200,-5.7,52.4,-10.7
17031031300,-1.4,5.6,-2.3
17031031400,-0.3,-4,0.5
17031031501,2.2,24.2,-3.1
17031031502,7.2,10.4,-5.9
17031031700,3.6,13,7.5
17031031800,2.2,-1.1,-1.3
17031031900,-0.3,0.8,1.7
17031032100,1.4,32,-4
17031040100,-3,17.8,3.2
17031040201,-3.7,13.7,-7
17031040202,-1.8,-2.6,10
17031040300,5.9,33.3,-1.7
17031040401,-6,5.2,-3
17031040402,2.7,40.4,-3
17031040600,7.2,12.6,1.4
17031040700,-2.4,17.7,-2.5
17031040800,-3,22.7,0.8
17031040900,0.2,43.6,-1.7
17031050100,1.8,5.7,-1
17031050200,-0.1,14.4,-8.1
17031050300,-4.1,-4.5,1.9
17031050500,1.6,22.5,0.2
17031050600,3.2,50.3,0.7
17031050700,-0.4,26.3,0.6
17031050800,-1.1,-12.9,-7.3
17031050900,-0.1,-22.6,2.1
17031051000,-1.5,1.6,1.9
17031051100,-2.7,4.6,0
17031051200,0.2,29.7,-8.9
17031051300,-3.1,42,-2.4
17031051400,-2,25.3,-0.9
17031060100,-3.5,30.7,-0.5
17031060200,-5.2,40,3.1
17031060300,-0.2,17.8,-1.8
17031060400,-4.5,16.5,3.9
17031060500,-0.2,-28,7.3
17031060800,-0.2,21.3,-3.9
17031060900,2.9,-4,0.8
17031061000,-1.4,-7.7,-1.6
17031061100,-1.5,36.9,-2.8
17031061200,3.2,-9.3,2.3
17031061500,-3,8.9,2.5
17031061800,-2.3,-13.7,5.4
17031061901,-2.8,7.7,-9.6
17031061902,-0.2,3.9,0
17031062000,-0.7,-6.5,2.7
17031062100,-6.5,21.1,-3.4
17031062200,3.1,8.5,3
17031062300,-1.2,57,-6.4
17031062400,1.6,4.4,-1.5
17031062500,-6.4,55,-5.1
17031062600,3,2.4,-4.5
17031062700,2.4,0.2,4.9
17031062800,-4.3,28.3,-3.7
17031062900,-1.4,18.7,-4.3
17031063000,-0.9,2,-13.4
17031063100,-4,42.2,-15.8
17031063200,-0.2,24.9,4
17031063301,-1.5,5.1,2.2
17031063302,-2.7,-8.1,1.3
17031063303,-12.4,5.3,-2.8
17031063400,-5.5,-9.8,-8.9
17031070101,0.8,-4.7,-1.3
17031070102,-3.4,28.8,-1.7
17031070103,-1.4,-12.9,-0.1
17031070200,-0.7,-9,2
17031070300,-3.2,-3.3,-0.4
17031070400,-3.6,-1.4,-3.7
17031070500,-4,66,-0.2
17031070600,1.9,-33.9,-2.9
17031070700,0,36.7,-3.1
17031071000,-4.6,2,-9.1
17031071100,-2.9,-6.3,-4.2
17031071200,-1.8,-28.3,1.1
17031071300,2.8,18.8,-0.6
17031071400,-1.1,-6.2,4.1
17031071500,-2.5,-1,-3.4
17031071600,7.5,23.7,6.1
17031071700,1.7,-1.7,-0.4
17031071800,4.4,-21.5,-2.5
17031080100,0.8,9,-0.2
17031080201,3.2,-10.2,-0.3
17031080202,1.8,-5.3,-0.5
17031080300,1.2,21.8,1.4
17031080400,-4.3,53.4,0.4
17031081000,-0.2,-14.5,-0.7
17031081100,-3.2,-6.8,0.3
17031081201,-7.1,-3.6,-4
17031081202,1,-21.6,-6.1
17031081300,1.9,0,2.9
17031081401,3.6,-27.3,-0.8
17031081402,2.3,-0.6,-0.8
17031081403,1.6,19,-2.3
17031081500,-2.1,-9.6,-1.7
17031081600,0.3,17.4,-2.7
17031081700,-0.3,17.4,0.1
17031081800,1.8,-8.5,0.7
17031081900,-6.8,97.5,-10.8
17031090100,-1.2,31.7,-2.9
17031090200,-4.9,27.5,-3.5
17031090300,-2.2,2,0.5
17031100100,3.6,21.2,5.9
17031100200,1.1,11.8,1.2
17031100300,-3.8,-5.7,3.8
17031100400,2.2,4.3,-4.7
17031100500,-8.2,46.6,-2.2
17031100600,-2.5,23.3,-3.3
17031100700,-2.7,8.3,1.2
17031110100,-2.3,38.3,5.1
17031110200,-2.1,33.1,-4.7
17031110300,-0.9,15.7,2.8
17031110400,-3.9,17.1,-0.1
17031110501,-4.1,19.4,2.3
17031110502,5.7,15.2,14.6
17031120100,-4.6,23.5,1.3
17031120200,0.6,16.4,-0.9
17031120300,-0.3,1.3,-3.9
17031120400,2.3,16.1,-2.2
17031130100,-0.3,-5.8,1.5
17031130200,6,2.1,1.5
17031130300,2.4,-0.9,0.5
17031140100,-3.1,6.6,16.6
17031140200,-1.3,14.7,-0.1
17031140301,-4.6,-19.6,9
17031140302,2.7,14.8,-2.2
17031140400,-3.2,27.3,-10
17031140500,-5.4,18.7,4.4
17031140601,2.5,2.7,-4.4
17031140602,3.6,47.6,-5.5
17031140701,-5,31,0.8
17031140702,-0.5,38.7,-4.2
17031140800,-1.2,35.7,-0.4
17031150200,-1.5,24.6,-9.9
17031150300,-3.5,5.8,-0.1
17031150401,-6,9,-4
17031150402,-10.4,20.1,-6.3
17031150501,-0.3,23.8,5
